run,cluster,start,workload,slack,jobs,fixed_work_gpu_h,week_allocation_gpu_h,cohort_share_of_week_gpu_h,cohort_incremental_gpu_energy_saving_pct,all_gpu_energy_saving_pct,upper_bound_on_cohort_saving_pct,exact_gang_capacity_excess_gpus,max_work_error_gpu_h,max_deadline_or_release_violation_s
Venus_2020-05-04_ft_llama_8b_dolly_24,Venus,2020-05-04,ft_llama_8b_dolly,24,3781,34227.01166666667,108488.35416666667,0.3154901918235848,34.42835950840237,8.280669153717772,35.650506895601914,0.0,3.5744962545436465e-11,0.0
Venus_2020-05-04_ft_llama_8b_p3_0,Venus,2020-05-04,ft_llama_8b_p3,0,3781,34227.01166666667,108488.35416666667,0.3154901918235848,4.719274178136102,1.135074359418464,5.161326367208415,0.0,3.9259262507584936e-11,0.0
Venus_2020-05-04_ft_llama_8b_p3_6,Venus,2020-05-04,ft_llama_8b_p3,6,3781,34227.01166666667,108488.35416666667,0.3154901918235848,26.84957178935011,6.45782790935308,29.740491665635208,0.0,3.4278024862999246e-11,0.0
Venus_2020-05-04_ft_llama_8b_p3_24,Venus,2020-05-04,ft_llama_8b_p3,24,3781,34227.01166666667,108488.35416666667,0.3154901918235848,32.22608090312624,7.750979654276126,33.53883505480574,0.0,3.4278024862999246e-11,0.0
Venus_2020-05-04_infer_llama_8b_48g_0,Venus,2020-05-04,infer_llama_8b_48g,0,3781,34227.01166666667,108488.35416666667,0.3154901918235848,5.643733512242392,1.357424247740391,6.1619516355236055,0.0,4.017874921657949e-11,0.0
Venus_2020-05-04_infer_llama_8b_48g_6,Venus,2020-05-04,infer_llama_8b_48g,6,3781,34227.01166666667,108488.35416666667,0.3154901918235848,31.37384805045347,7.546001595615213,34.62074650381449,0.0,3.7061909097246826e-11,0.0
Venus_2020-05-04_infer_llama_8b_48g_24,Venus,2020-05-04,infer_llama_8b_48g,24,3781,34227.01166666667,108488.35416666667,0.3154901918235848,37.16891649372278,8.939824745688687,39.044791313199866,0.0,3.21752624543592e-11,0.0
Venus_2020-05-04_infer_llama_8b_32g_0,Venus,2020-05-04,infer_llama_8b_32g,0,3781,34227.01166666667,108488.35416666667,0.3154901918235848,5.643733512242392,1.357424247740391,6.1619516355236055,0.0,4.017874921657949e-11,0.0
Venus_2020-05-04_infer_llama_8b_32g_6,Venus,2020-05-04,infer_llama_8b_32g,6,3781,34227.01166666667,108488.35416666667,0.3154901918235848,31.37384805045347,7.546001595615213,34.62074650381447,0.0,3.7061909097246826e-11,0.0
Venus_2020-05-04_infer_llama_8b_32g_24,Venus,2020-05-04,infer_llama_8b_32g,24,3781,34227.01166666667,108488.35416666667,0.3154901918235848,37.16891649372278,8.939824745688687,39.04479131319986,0.0,3.2175595521266587e-11,0.0
Venus_2020-05-04_infer_llama_8b_0,Venus,2020-05-04,infer_llama_8b,0,3781,34227.01166666667,108488.35416666667,0.3154901918235848,5.640291355432526,1.3565963441712197,6.158263846457287,0.0,4.017874921657949e-11,0.0
Venus_2020-05-04_infer_llama_8b_6,Venus,2020-05-04,infer_llama_8b,6,3781,34227.01166666667,108488.35416666667,0.3154901918235848,31.355455076398815,7.541577738798499,34.60065575022323,0.0,3.7061909097246826e-11,0.0
Venus_2020-05-04_infer_llama_8b_24,Venus,2020-05-04,infer_llama_8b,24,3781,34227.01166666667,108488.35416666667,0.3154901918235848,37.147157687007905,8.934591342698875,39.02218616443928,0.0,3.2175595521266587e-11,0.0
Venus_2020-05-04_pt_mpt_13b_lg_0,Venus,2020-05-04,pt_mpt_13b_lg,0,3781,34227.01166666667,108488.35416666667,0.3154901918235848,3.0395340849893904,0.731065217705268,3.548341410839182,0.0,3.791567060318357e-11,0.0
Venus_2020-05-04_pt_mpt_13b_lg_6,Venus,2020-05-04,pt_mpt_13b_lg,6,3781,34227.01166666667,108488.35416666667,0.3154901918235848,17.077120133262895,4.107369155574523,20.130226510657824,0.0,3.7630343285854906e-11,0.0
Venus_2020-05-04_pt_mpt_13b_lg_24,Venus,2020-05-04,pt_mpt_13b_lg,24,3781,34227.01166666667,108488.35416666667,0.3154901918235848,23.920356262617492,5.75329638350776,25.95865265861494,0.0,2.9960034453324624e-11,0.0
Venus_2020-05-04_pt_mpt_13b_sm_0,Venus,2020-05-04,pt_mpt_13b_sm,0,3781,34227.01166666667,108488.35416666667,0.3154901918235848,3.034467363297684,0.7298465756723026,3.689464919198168,0.0,3.922229208086492e-11,0.0
Venus_2020-05-04_pt_mpt_13b_sm_6,Venus,2020-05-04,pt_mpt_13b_sm,6,3781,34227.01166666667,108488.35416666667,0.3154901918235848,17.62693806712104,4.239610728221888,20.886512397419004,0.0,3.6834535421803594e-11,0.0
Venus_2020-05-04_pt_mpt_13b_sm_24,Venus,2020-05-04,pt_mpt_13b_sm,24,3781,34227.01166666667,108488.35416666667,0.3154901918235848,24.660637498271445,5.931347968906701,26.777190541226126,0.0,2.8076874158955434e-11,0.0
