workload,tariff_assumption,deadline_window_h_assumption,utilization_assumption,idle_power_ratio_assumption,max_response_fraction,commitment_MW,minimum_cost_CNY_scenario,outside_option_cost_CNY_scenario,opportunity_cost_CNY_scenario,marginal_cost_CNY_per_MW_event_scenario,is_measured_tariff,is_market_equilibrium,maximum_work_error
ft_llama_8b_p3,event_expensive,1,0.9,0.2,0.25,0.000472701594230357,61.633151000430836,61.633151000430836,0.0,-0.0,False,False,1.1102230246251565e-16
ft_llama_8b_p3,event_expensive,1,0.9,0.2,0.5,0.000945403188460714,61.633151000430836,61.633151000430836,0.0,-0.0,False,False,1.1102230246251565e-16
ft_llama_8b_p3,event_expensive,1,0.9,0.2,0.75,0.001418104782691071,61.633151000430836,61.633151000430836,0.0,-0.0,False,False,1.1102230246251565e-16
ft_llama_8b_p3,event_expensive,1,0.9,0.2,1.0,0.001890806376921428,61.633151000430836,61.633151000430836,0.0,-0.0,False,False,1.1102230246251565e-16
ft_llama_8b_p3,event_expensive,4,0.9,0.2,0.0,0.0,53.94694355051599,53.94694355051598,7.105427357601002e-15,-0.0,False,False,1.1102230246251565e-16
ft_llama_8b_p3,event_expensive,4,0.9,0.2,0.25,0.001033702975541134,53.94694355051599,53.94694355051598,7.105427357601002e-15,-0.0,False,False,1.1102230246251565e-16
ft_llama_8b_p3,event_expensive,4,0.9,0.2,0.5,0.002067405951082268,53.94694355051599,53.94694355051598,7.105427357601002e-15,-0.0,False,False,1.1102230246251565e-16
ft_llama_8b_p3,event_expensive,4,0.9,0.2,0.75,0.003101108926623402,53.94694355051599,53.94694355051598,7.105427357601002e-15,-0.0,False,False,1.1102230246251565e-16
ft_llama_8b_p3,event_expensive,4,0.9,0.2,1.0,0.004134811902164536,54.30493771755355,53.94694355051598,0.3579941670375675,2210.501740233823,False,False,5.551115123125783e-16
ft_llama_8b_p3,event_expensive,8,0.9,0.2,0.0,0.0,53.94694355051599,53.94694355051599,0.0,-0.0,False,False,7.771561172376096e-16
ft_llama_8b_p3,event_expensive,8,0.9,0.2,0.25,0.0010337029755411338,53.94694355051599,53.94694355051599,0.0,-0.0,False,False,7.771561172376096e-16
ft_llama_8b_p3,event_expensive,8,0.9,0.2,0.5,0.0020674059510822677,53.94694355051599,53.94694355051599,0.0,-0.0,False,False,7.771561172376096e-16
ft_llama_8b_p3,event_expensive,8,0.9,0.2,0.75,0.0031011089266234013,53.94694355051599,53.94694355051599,0.0,-0.0,False,False,7.771561172376096e-16
ft_llama_8b_p3,event_expensive,8,0.9,0.2,1.0,0.004134811902164535,54.30493771755356,53.94694355051599,0.3579941670375675,2210.5017402338203,False,False,9.992007221626409e-16
infer_llama_8b_48g,flat,1,0.9,0.2,0.0,0.0,76.21515000000002,76.21515000000002,0.0,-0.0,False,False,1.1102230246251565e-16
infer_llama_8b_48g,flat,1,0.9,0.2,0.25,0.0008912287499999993,76.21515000000002,76.21515000000002,0.0,-0.0,False,False,1.1102230246251565e-16
infer_llama_8b_48g,flat,1,0.9,0.2,0.5,0.0017824574999999985,76.21515000000002,76.21515000000002,0.0,-0.0,False,False,1.1102230246251565e-16
infer_llama_8b_48g,flat,1,0.9,0.2,0.75,0.002673686249999998,76.21515000000002,76.21515000000002,0.0,-0.0,False,False,1.1102230246251565e-16
